id,osmId,osm_type,name,difficulty,resort,ref,lit,grooming,latitude,longitude
353,52083543,way,Costa,easy,,,,,46.7265808,11.9677289
354,52083544,way,,intermediate,,,,,46.71899,11.9633891
355,52083545,way,Rara,intermediate,Rara,,,classic,46.7204015,11.9613952
356,52083546,way,Rara 31,easy,,,,,46.7225038,11.9641617
357,52083547,way,Rara 33,intermediate,Rara,,,classic,46.718994,11.9648768
358,52083647,way,Col Toron,intermediate,,34,,,46.7112163,11.9510357
359,52083942,way,Erta,advanced,,40,no,classic,46.6996499,11.9194604
360,52085632,way,Gardeccia,intermediate,,4,,,46.4768925,11.8034852
361,52330700,way,Catores,advanced,,7,no,classic,46.5963727,11.7264623
362,52331797,way,Panorama 14,easy,,14,no,classic,46.537494,11.6239023
363,52331798,way,Steger - Panorama,easy,,58,no,classic,46.5379894,11.6303249
364,52331799,way,Bamby - Steger Dellai,intermediate,,59,no,classic,46.5368358,11.6354193
365,52331800,way,Panorama - Laurin,intermediate,,15,no,classic,46.5324404,11.6196578
366,52331801,way,Laurin - Paradiso,easy,,10,no,classic,46.5287625,11.629347
367,52331802,way,Monte Piz,intermediate,,55,no,classic,46.547666,11.6422614
368,52331803,way,Puflatsch Alpin,intermediate,,76,no,classic,46.5483763,11.6133714
369,52331804,way,Euro 69,easy,,69,no,classic,46.5448,11.6191668
370,52331806,way,Puflatsch Freccia,advanced,,78,no,classic,46.5471575,11.6148265
371,52331807,way,Mezdí - Sanon 1,intermediate,,43,no,classic,46.5567231,11.6563478
372,52331808,way,Monte Piz - Icaro - Leo Demetz,easy,,46,no,classic,46.5491883,11.6490462
373,52331809,way,Sanon 1,intermediate,,51,no,classic,46.5478985,11.6531301
374,52331810,way,Leo Demetz,intermediate,,47,no,classic,46.5526379,11.648198
